Property Address,Property Name,PropertyType,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Land Area (AC),Latitude,Longitude,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Phone,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent Type,Rent/SF/Yr,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Zoning,Anchor Tenants,Building Class,Fema Flood Zone,Flood Risk Area,Floodplain Area,For Sale Price,Fund Name,Last Sale Date,Last Sale Price,Leasing Company Address,Leasing Company Contact,Star Rating,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Total Buildings
2893 W Fair Ave,Anchor Hocking Building,Industrial,Existing,Fairfield County,Fairfield County,Lancaster,OH,43130-8993,Fairfield,1969,1,,186,0.15,1272227,341016,341016,341016,341016,341016,0,3.95,73.2,,2021 Tax @ $0.18/sf,2021 Tax @ $0.18/sf,,Triple Net,,,,,,,,Vault Realty LLC,"Fenced Lot, Security System, Signage, Yard",,"28'0""",60,"4/16'0""w x 12'0""h",51'w x 28'd,Wet,,Metal,,,,,,494486,3.95,,,65.569995,39.7338788,-82.6635894,1407 Broadway Ave,"New York, NY 10018    ",Nouri Chaya,9176035339,,,,,220 42nd St,"New York, NY 10017",,G & I Ix Anchor Hock Llc,,,$3.95 ,,,,,,,,,,1407 Broadway Ave,"New York, NY 10018    ",Nouri Chaya,Vault Realty LLC,9176035339,IH,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/27/21 0:00,42925000,,,3,2021,0.18,228594.68,Multi,
9905 State Route 104,,Industrial,Proposed,Pickaway County,Pickaway County,Lockbourne,OH,43137,Pickaway,2024,1,,1572,0.78,2019800,1200000,50000,2019800,0,0,0,-,0,,2021 Tax @ $0.04/sf,2021 Tax @ $0.04/sf,,,Newmark,"Cleveland, OH 44114-1501",2162180259,2164533093,Terry Coyne,,Scannell Properties,Scannell Properties 627 Llc,,2000a,"40'0""",202,10,50'w x 50'd,ESFR,,,,Yes,Yes,Yes,Yes,12380831,,,,137.38,39.7922715,-83.0268738,,,,,,,,,,,,Scannell Properties 627 Llc,,,Not Disclosed,,,,,,,,,,,,,,,C,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,1300 E 9th St Suite # 105,Terry Coyne,4,2021,0.04,79063.82,Multi,
600-740 Marion Rd,,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43207-2551,Franklin,1952,2,,42,0.43,530506,53600,5400,92015,92015,92015,0,5.95,82.66,,2021 Tax @ $0.01/sf,2021 Tax @ $0.01/sf,,Modified Gross,NAI Ohio Equities LLC,"Columbus, OH 43215",6146295217,6142245436,Mike Semon,"FIP Realty Co., Ltd",,"FIP Realty Co., Ltd",Fenced Lot,400a 3p,"24'0""",5,"5/9'0""w x 14'0""h",40'w x 40'd,Dry,,Masonry,,,,,,494827,5.95,,Federal Industrial Park,26.5,39.9242798,-82.9763097,1879 Federal Pky,"Columbus, OH 43207-5712",Jeff Katz,6144441101,1879 Federal Pky,"Columbus, OH 43207-5712",Sandy Allen,6144441101,1879 Federal Pky,"Columbus, OH 43207-5712",,"FIP Realty Co., Ltd",6144441101,,$5.95 ,,,,,,,,,,1879 Federal Pky,"Columbus, OH 43207-5712",Jeff Katz,"FIP Realty Co., Ltd",6144441101,M,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/11/99 0:00,315210,605 S Front St Suite # 200,Mike Semon,3,2021,0.01,6682.64,Multi,
1025 S Enterprise Dr,Building 1,Industrial,Proposed,Madison County,Madison County,West Jefferson,OH,43162,Madison,2024,1,,,0.58,1841747,1841747,1841747,1841747,0,0,0,-,0,,2021 Tax @ $0.02/sf,2021 Tax @ $0.02/sf,,,CBRE,"Columbus, OH 43215-4138",6144305091,6142241767,Richard Trott,,,,,3000a/277-480v 3p,,184,"4/12'0""w x 14'0""h",,,,,,,,,,12661550,,,,108.55,39.9395095,-83.320108,,,,,,,,,,,,,,,Not Disclosed,,,,,,,,,,,,,,,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,200 Civic Center Dr Suite # 14th Floor,Richard Trott,4,2021,0.02,30434.08,,
4545 Fisher Rd,4533 Fisher Road,Industrial,Existing,Northwest,Hilliard,Columbus,OH,43228-8923,Franklin,1971,2,,1400,8,3958267,94744,94744,94744,94744,94744,0,-,97.61,,2021 Tax @ $0.06/sf,2021 Tax @ $0.06/sf,,,ICP LLC,"Mayfield Heights, OH 44124-4187",5133838351,,Dean Miller,,,ICP LLC,,480v 3p 4w,"30'0""",208,"4/10'0""w x 14'0""h",,Wet,,Reinforced Concrete,,Gas,City,City,Natural,495429,,,70/270 Commerce Center,153,39.9680651,-83.126314,6110 Parkland Blvd,"Mayfield Heights, OH 44124-4187",,4405391046,,,,,12214 Lakewood Bl,"Downey, CA 90242-2662",,Columbus Business Park Llc,,,$3.34 - 4.08 (Est.),,,,,,,,,,6110 Parkland Blvd,"Mayfield Heights, OH 44124-4187",,ICP LLC,4405391046,"M, Columbus",,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,4/30/04 0:00,22000000,6110 Parkland Blvd,Dean Miller,4,2021,0.06,219244.88,Multi,
1050 Gateway Dr,Building 3,Industrial,Existing,Madison County,Madison County,West Jefferson,OH,43162-9424,Madison,2023,1,,671,0.9,747520,747520,747520,747520,747520,747520,0,-,0,,2021 Tax @ $0.06/sf,2021 Tax @ $0.06/sf,,,CBRE,"Columbus, OH 43215-4138",6144305091,6142241767,Richard Trott,,,,,6000a/277-480v 3p,"40'0""",120,"2/12'0""w x 14'0""h",60'w x 47'd,ESFR,,,,,,,,12661555,,,,64.21,39.9387287,-83.3163968,,,,,,,,,,,,,,,$7.70 - 9.41 (Est.),,,,,,,,,,,,,,,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,200 Civic Center Dr Suite # 14th Floor,Richard Trott,4,2021,0.06,41741.88,,
3755 Hayes Rd,Stotan Industrial,Industrial,Existing,Southeast,Southeast,Groveport,OH,43125-6500,Franklin,2022,1,,308,0.48,640640,640640,300000,640640,640640,640640,0,-,0,,2021 Tax @ $0.01/sf,2021 Tax @ $0.01/sf,,,CBRE,"Columbus, OH 43215-4138",6144305091,6142241767,Richard Trott,,,Groveport Venture Llc,,,"36'0""",94,"4/12'0""w x 14'0""h",56'w x 50'd,ESFR,,Masonry,,,,,,12384205,,,,271.17,39.8281893,-82.895965,130 E Randolph St,"Chicago, IL 60601-6207",,,,,,,130 E Randolph St,"Chicago, IL 60601-6207",,Groveport Venture Llc,,,$6.72 - 8.22 (Est.),,,,,,,,,,,,,,,PIP,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,9/14/21 0:00,4420000,200 Civic Center Dr Suite # 14th Floor,Richard Trott,5,2021,0.01,3700.96,,
1489 Rohr Rd,Lockbourne West - C/D,Industrial,Existing,Southeast,Southeast,Lockbourne,OH,43137-9251,Franklin,2023,1,,347,0.33,1056103,1056103,500000,1056103,1056103,1056103,0,-,0,,2021 Tax @ $0.01/sf,2021 Tax @ $0.01/sf,,,CBRE,"Columbus, OH 43215-4138",6144305012,6142241767,Jeff Lyons,,Trident Capital Group,,,277a/480v,"40'0""",104,4,56'w x 50'd,ESFR,,Reinforced Concrete,,,,,,12208076,,,,230,39.8438287,-82.9644913,,,,,,,,,,,,,,,$3.54 - 4.15 (Est.),,,,,,,,,,,,,,,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,200 Civic Center Dr Suite # 14th Floor,Jeff Lyons,5,2021,0.01,6130.4,Multi,
6300-6520 Tussing Rd,,Industrial,Proposed,Southeast,I-70 East Corridor,Columbus,OH,43068,Franklin,2024,1,,,0,800000,800000,25000,800000,0,0,0,-,0,,2021 Tax @ $0.05/sf,2021 Tax @ $0.05/sf,,,"Benderson Development Company, Inc.","University Park, FL 34201-2141",9415005230,9413591836,Larry Fineberg,,,"Benderson Development Company, Inc.","24 Hour Access, Fenced Lot, Signage, Monument Signage, Air Conditioning",,"32'0""",,None,,ESFR,,Steel,,,,,,11045243,,,,50,39.9320583,-82.8260584,7978 Cooper Creek Blvd,"University Park, FL 34201-2141",,9413598303,,,,,,,,,,,Not Disclosed,,,,,,,,,,7978 Cooper Creek Blvd,"University Park, FL 34201-2141",,"Benderson Development Company, Inc.",9413598303,,,A,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,7978 Cooper Creek Blvd,Larry Fineberg,5,2021,0.05,39938.44,Multi,
4150-4200 E 5th Ave,Building 6,Industrial,Existing,Northeast,Airport,Columbus,OH,43219,Franklin,1943,2,1976,1200,1.4,856951,74929,15000,218970,218970,218970,0,15,74.45,,2021 Tax @ $0.47/sf,2021 Tax @ $0.47/sf,,,,,,,,,,Designer Brands Inc.,,,,38,None,,,,Masonry,,,,,,1055489,,,,41.34,39.9892334,-82.8947231,3980-4020 E 5th Ave,"Columbus, OH 43219-1858",William Jordan,6142377100,,,,,4300 E 5th Ave,"Columbus, OH 43219-1816",,810 AC LLC,,,$15.00 ,,,,,,,,,,3980-4020 E 5th Ave,"Columbus, OH 43219-1858",William Jordan,Designer Brands Inc.,6142377100,M,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,11/1/12 0:00,28946917,,,3,2021,0.47,400145.9,Multi,
