current_occupant,business_name,tradestyle_name,duns,subject_address_full,website,phone,naics_code,naics_description,sic_code,sic_description,employees_at_location,year_started,type_of_location,company_address_line_1,company_address_city,company_address_state,company_address_postal_code,subject_address_line_1,subject_address_city,subject_address_state,subject_address_postal_code,reonomy_property_id,apn,longitude,latitude
Axium Packaging LLC,Axium Packaging LLC,,118415024,"9043 SMITHS MILL RD N, NEW ALBANY, OH 43054",,6147065955,999990,Unclassified Establishments,99998999,Street address for general mailing purposes,8,,Branch,9043 Smiths Mill Rd N,New Albany,OH,43054,9043 Smiths Mill Rd N,New Albany,OH,43054,139d7af3-4e9d-578e-89c8-b301d33c9bf7,095-111372-00.010,-82.743295,40.089877
"Charter Next Generation, Inc.","Charter Next Generation, Inc.",,117907742,"1188 S HOUK RD, DELAWARE, OH 43015",www.cnginc.com,7403692770,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,26719903,"Plastic film, coated or laminated for packaging",3,,Branch,1188 S Houk Rd,Delaware,OH,43015,1188 S Houk Rd,Delaware,OH,43015,ea88e47b-0ec9-57db-96a9-374fb33e0cdf,419-220-01-017-005,-83.115092,40.286847
Charter Nex Holding Company,Charter Nex Holding Company,Charter Nex,080106440,"1188 S HOUK RD, DELAWARE, OH 43015",www.cnginc.com,7403692770,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,30810103,Polyethylene film,41,,Branch,1188 S Houk Rd,Delaware,OH,43015,1188 S Houk Rd,Delaware,OH,43015,ea88e47b-0ec9-57db-96a9-374fb33e0cdf,419-220-01-017-005,-83.115092,40.286847
"Tracewell Systems, Inc.","Tracewell Systems, Inc.",,069071249,"567 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.tracewell.com,6148466175,334112,Computer Storage Device Manufacturing,35720000,Computer storage devices,61,1973,HQ,567 Enterprise Dr,Lewis Center,OH,43035,567 Enterprise Dr,Lewis Center,OH,43035,7e3b8fff-f1e7-5a16-bd9b-4c53b734b8e0,318-313-06-009-000,-83.008021,40.156273
"Tracewell Power, Inc.","Tracewell Power, Inc.",,152912887,"567 ENTERPRISE DR, LEWIS CENTER, OH 43035",www.tracewell.com,6148466175,334419,Other Electronic Component Manufacturing,36790303,"Power supplies, all types: static",1,1997,Single Location,567 Enterprise Dr,Westerville,OH,43081,567 Enterprise Dr,Lewis Center,OH,43035,7e3b8fff-f1e7-5a16-bd9b-4c53b734b8e0,318-313-06-009-000,-82.92907,40.12617
Mid Ohio Aesthetics LLC,Mid Ohio Aesthetics LLC,,089408232,"8333 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.midohioaesthetics.com,,621111,Offices of Physicians (except Mental Health Specialists),80110517,Plastic surgeon,3,2021,Single Location,8333 Green Meadows Dr N,Lewis Center,OH,43035,8333 Green Meadows Dr N,Lewis Center,OH,43035,e2ff09e1-147f-5289-8ca5-1ebfb2aba96b,318-313-04-006-000,-83.008406,40.162797
Pursuit Nutrition LLC,Pursuit Nutrition LLC,,090174600,"8333 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.pursuit.fit,,999990,Unclassified Establishments,99992222,"Duns Support Record, nonclassifiable establishment",7,2020,Single Location,8333 Green Meadows Dr N,Lewis Center,OH,43035,8333 Green Meadows Dr N,Lewis Center,OH,43035,e2ff09e1-147f-5289-8ca5-1ebfb2aba96b,318-313-04-006-000,-83.008406,40.162797
"Lumenomics, Inc.","Lumenomics, Inc.",Inside Outfitters,080084185,"8333 GREEN MEADOWS DR N, LEWIS CENTER, OH 43035",www.insideoutfitters.com,6147983500,423220,Home Furnishing Merchant Wholesalers,50230302,Draperies,46,,Branch,8333 Green Meadows Dr N,Lewis Center,OH,43035,8333 Green Meadows Dr N,Lewis Center,OH,43035,e2ff09e1-147f-5289-8ca5-1ebfb2aba96b,318-313-04-006-000,-83.008348,40.163103
Superior Plastics Inc.,Superior Plastics Inc.,,046278490,"8175 BUSINESS WAY, PLAIN CITY, OH 43064",www.superiorplasticsinc.com,6147330307,326199,All Other Plastics Product Manufacturing,30890609,Injection molding of plastics,35,1997,HQ,8175 Business Way,Plain City,OH,43064,8175 Business Way,Plain City,OH,43064,7d52b86e-4052-5e4a-ba0e-6105c48526f8,15-0028001-0040,-83.199249,40.132692
Commercial Self Storage,Commercial Self Storage,,105180051,"1509 BLATT BLVD, GAHANNA, OH 43230",,6146070561,531130,Lessors of Miniwarehouses and Self-Storage Units,42259903,"Warehousing, self storage",3,2019,Single Location,1509 Blatt Blvd,Gahanna,OH,43230,1509 Blatt Blvd,Gahanna,OH,43230,935cf0b3-c047-569c-a60a-2e50021e1fdc,025-011769,-82.827702,39.994024
